question,ctrl,actor,worth,ci_lo,ci_hi,n_rankings
responsibility,H,CTRL,0.6821300403498356,0.616526849526865,0.7507886562555801,354
responsibility,H,ORG,0.18746595874179345,0.14715874417220587,0.22833099381196245,354
responsibility,H,USER,0.13040400090837087,0.09182558034671687,0.16984673983370896,354
responsibility,HA,CTRL,0.44895543978237623,0.3799721309573257,0.5253883960644319,354
responsibility,HA,AI,0.28366396500715413,0.2454775143522941,0.32404343263014024,354
responsibility,HA,ORG,0.1784621717390829,0.14446797927927874,0.2142301824123501,354
responsibility,HA,USER,0.08891842347138679,0.06203337673642677,0.11737474936118307,354
responsibility,A,AI,0.5503433744579879,0.42565712856500176,0.6635406829835587,108
responsibility,A,ORG,0.30400008122456845,0.23077270166012834,0.3784091016568619,108
responsibility,A,USER,0.1456565443174438,0.09090601482058744,0.22159826496140675,108
credit,H,CTRL,0.686655492797578,0.6151897135907151,0.7528773591956985,354
credit,H,ORG,0.1608362243220064,0.12322893478093318,0.2009251324676291,354
credit,H,USER,0.15250828288041554,0.11599727246221032,0.19637121680420466,354
credit,HA,CTRL,0.4425135004263975,0.38267315664392976,0.5080958469567396,354
credit,HA,AI,0.2867191954951354,0.25147779941859805,0.3243851256044066,354
credit,HA,ORG,0.17615406604510947,0.1444343536332816,0.20557826890632055,354
credit,HA,USER,0.09461323803335774,0.07022487859944204,0.12314399834232245,354
credit,A,AI,0.5429627744495095,0.41559835102903875,0.6920688895932872,108
credit,A,ORG,0.30653246162751124,0.21643655446841775,0.38984413556929437,108
credit,A,USER,0.1505047639229794,0.08123922397199346,0.2332905937791227,108
